"species";"forest_reserve";"period";"plottype";"model";"P1";"P2"
87;"Everzwijnbad";1;"CP";"h=1,3+exp(P1+P2/d)";3,5256405;-12,267228
16;"Everzwijnbad";1;"CP";"h=1,3+exp(P1+P2/d)";3,4873781;-10,833874
26;"Withoefse heide";1;"CP";"h=1,3+exp(P1+P2/d)";3,2037377;-11,513154
87;"Liedekerke";1;"CP";"h=1,3+P1+P2*ln(d)";-12,863367;9,8065562
7;"Kersselaerspleyn";1;"CP";"h=1,3+exp(P1+P2/d)";3,8421561;-15,912149
87;"Kersselaerspleyn";1;"CP";"h=1,3+exp(P1+P2/d)";3,7865511;-18,46081
7;"Kersselaerspleyn";1;"CA";"h=1,3+exp(P1+P2/d)";3,8386681;-15,683571
87;"Kersselaerspleyn";1;"CA";"h=1,3+exp(P1+P2/d)";3,7829598;-18,329177
16;"Kersselaerspleyn";1;"CA";"h=1,3+exp(P1+P2/d)";3,6002613;-12,147947
87;"Harras";1;"CA";"h=1,3+exp(P1+P2/d)";3,6518577;-15,390851
16;"Harras";1;"CA";"h=1,3+exp(P1+P2/d)";3,5033158;-8,7892034
7;"Harras";1;"CA";"h=1,3+exp(P1+P2/d)";3,571807;-10,851567
6;"Harras";1;"CA";"h=1,3+exp(P1+P2/d)";3,3270289;-4,8144403
87;"Sevendonck A";1;"CA";"h=1,3+P1+P2*ln(d)";-11,472627;8,7174291
87;"Everzwijnbad";2;"CP";"h=1,3+exp(P1+P2/d)";3,5256405;-12,267228
16;"Everzwijnbad";2;"CP";"h=1,3+exp(P1+P2/d)";3,4873781;-10,833874
26;"Withoefse heide";2;"CP";"h=1,3+exp(P1+P2/d)";3,2037377;-11,513154
87;"Liedekerke";2;"CP";"h=1,3+P1+P2*ln(d)";-12,863367;9,8065562
7;"Kersselaerspleyn";2;"CP";"h=1,3+exp(P1+P2/d)";3,8421561;-15,912149
87;"Kersselaerspleyn";2;"CA";"h=1,3+exp(P1+P2/d)";3,7829598;-18,329177
7;"Kersselaerspleyn";2;"CA";"h=1,3+exp(P1+P2/d)";3,8386681;-15,683571
16;"Kersselaerspleyn";2;"CA";"h=1,3+exp(P1+P2/d)";3,6002613;-12,147947
16;"Harras";2;"CA";"h=1,3+exp(P1+P2/d)";3,5033158;-8,7892034
7;"Harras";2;"CA";"h=1,3+exp(P1+P2/d)";3,571807;-10,851567
87;"Harras";2;"CA";"h=1,3+exp(P1+P2/d)";3,6518577;-15,390851
87;"Sevendonck A";2;"CA";"h=1,3+P1+P2*ln(d)";-11,472627;8,7174291
7;"Kersselaerspleyn";3;"CP";"h=1,3+exp(P1+P2/d)";3,8421561;-15,912149
7;"Kersselaerspleyn";3;"CA";"h=1,3+exp(P1+P2/d)";3,8386681;-15,683571
87;"Kersselaerspleyn";3;"CA";"h=1,3+exp(P1+P2/d)";3,7829598;-18,329177
16;"Kersselaerspleyn";3;"CA";"h=1,3+exp(P1+P2/d)";3,6002613;-12,147947
7;"Kersselaerspleyn";0;"CA";"h=1,3+exp(P1+P2/d)";3,8386681;-15,683571
87;"Kersselaerspleyn";0;"CA";"h=1,3+exp(P1+P2/d)";3,7829598;-18,329177
28;"Everzwijnbad";1;"CP";"h=1,3+exp(P1+P2/d)";2,839142;-5,6580858
28;"Sevendonck A";1;"CA";"h=1,3+P1+P2*ln(d)";-8,8035191;7,1475383
28;"Everzwijnbad";2;"CP";"h=1,3+exp(P1+P2/d)";2,839142;-5,6580858
28;"Sevendonck A";2;"CA";"h=1,3+P1+P2*ln(d)";-8,8035191;7,1475383
